1;"3ºE A";"CN 2 ";"BG   ";"     ";4;3
2;"3ºE A";"CN 2 ";"BG   ";"     ";1;2
3;"3ºE A";"DI 1 ";"EPV  ";"     ";5;6
4;"3ºE A";"DI 1 ";"EPV  ";"     ";2;5
5;"3ºE A";"TE 1 ";"TEC  ";"     ";5;1
6;"3ºE A";"TE 1 ";"TEC  ";"     ";3;6
7;"3ºE A";"SO 1 ";"CSO  ";"     ";4;1
8;"3ºE A";"SO 1 ";"CSO  ";"     ";1;3
9;"3ºE A";"SO 1 ";"CSO  ";"     ";3;4
10;"3ºE A";"LE 1 ";"LCL  ";"     ";5;5
11;"3ºE A";"LE 1 ";"LCL  ";"     ";3;1
12;"3ºE A";"LE 1 ";"LCL  ";"     ";2;1
13;"3ºE A";"LE 1 ";"LCL  ";"     ";1;5
14;"3ºE A";"RE 2 ";"REL  ";"     ";2;6
15;"3ºE A";"RE 2 ";"REL  ";"     ";4;5
16;"3ºE A";"IN 4 ";"ING  ";"     ";4;6
17;"3ºE A";"IN 4 ";"ING  ";"     ";2;2
18;"3ºE A";"IN 4 ";"ING  ";"     ";1;4
19;"3ºE A";"EF 2 ";"EFI  ";"     ";3;3
20;"3ºE A";"EF 2 ";"EFI  ";"     ";5;2
21;"3ºE A";"MA 1 ";"MAT  ";"     ";4;2
22;"3ºE A";"MA 1 ";"MAT  ";"     ";1;1
23;"3ºE A";"MA 1 ";"MAT  ";"     ";3;2
24;"3ºE A";"MA 1 ";"TUT  ";"     ";4;4
25;"4ºE A";"SO 1 ";"CSO  ";"     ";5;1
26;"4ºE A";"SO 1 ";"CSO  ";"     ";3;3
27;"4ºE A";"SO 1 ";"CSO  ";"     ";2;1
28;"4ºE A";"FL 1 ";"VMO  ";"     ";5;4
29;"4ºE A";"FL 1 ";"VMO  ";"     ";2;6
30;"4ºE A";"LE 5 ";"LCL  ";"     ";3;2
31;"4ºE A";"LE 5 ";"LCL  ";"     ";1;6
32;"4ºE A";"LE 5 ";"LCL  ";"     ";4;1
33;"4ºE A";"LE 5 ";"LCL  ";"     ";2;2
34;"4ºE A";"IN 4 ";"ING  ";"     ";2;3
35;"4ºE A";"IN 4 ";"ING  ";"     ";3;1
36;"4ºE A";"IN 4 ";"ING  ";"     ";1;5
37;"4ºE A";"IN 4 ";"ING  ";"     ";4;3
38;"4ºE A";"EF 2 ";"EFI  ";"     ";1;2
39;"4ºE A";"EF 2 ";"EFI  ";"     ";4;5
40;"4ºE A";"CN 2 ";"BIO  ";"     ";1;4
41;"4ºE A";"CN 2 ";"BIO  ";"     ";4;2
42;"4ºE A";"CN 2 ";"BIO  ";"     ";3;5
43;"4ºE A";"FQ 1 ";"FQU  ";"     ";5;3
44;"4ºE A";"FQ 1 ";"FQU  ";"     ";3;4
45;"4ºE A";"FQ 1 ";"FQU  ";"     ";1;1
46;"4ºE A";"MA 3 ";"CUL  ";"     ";1;3
47;"4ºE B";"MA 3 ";"CUL  ";"     ";1;3
48;"4ºEdi";"MA 3 ";"CUL  ";"     ";1;3
49;"4ºE A";"RE 1 ";"REL  ";"     ";1;3
50;"4ºE B";"RE 1 ";"REL  ";"     ";1;3
51;"4ºEdi";"RE 1 ";"REL  ";"     ";1;3
52;"4ºE A";"RE 2 ";"REL  ";"     ";1;3
53;"4ºE B";"RE 2 ";"REL  ";"     ";1;3
54;"4ºEdi";"RE 2 ";"REL  ";"     ";1;3
55;"4ºE A";"MA 4 ";"MAB  ";"     ";5;2
56;"4ºE A";"MA 4 ";"MAB  ";"     ";4;4
57;"4ºE A";"MA 4 ";"MAB  ";"     ";2;4
58;"4ºE A";"FQ 2 ";"METC ";"     ";3;6
59;"4ºE A";"FQ 2 ";"METC ";"     ";5;5
60;"4ºE A";"CN 2 ";"TUT  ";"     ";5;6
61;"3ºE A";"FQ 2 ";"FYQ  ";"     ";1;6
62;"3ºE A";"FQ 2 ";"FYQ  ";"     ";3;5
63;"1BlA ";"LE 5 ";"LCL  ";"     ";3;1
64;"1BlA ";"LE 5 ";"LCL  ";"     ";5;2
65;"1BlA ";"LE 5 ";"LCL  ";"     ";1;5
66;"1BlA ";"FL 1 ";"FIL  ";"     ";4;3
67;"1BlA ";"FL 1 ";"FIL  ";"     ";5;5
68;"1BlA ";"FL 1 ";"FIL  ";"     ";2;5
69;"1BlA ";"IN 4 ";"IN1  ";"     ";5;6
70;"1BlA ";"IN 4 ";"IN1  ";"     ";2;6
71;"1BlA ";"IN 4 ";"IN1  ";"     ";3;2
72;"1BlA ";"FR 2 ";"FRA  ";"     ";4;5
73;"1BlA ";"FR 2 ";"FRA  ";"     ";1;6
74;"1BlA ";"EF 1 ";"EFI  ";"     ";1;3
75;"1BlA ";"EF 1 ";"EFI  ";"     ";4;4
76;"1BlA ";"RE 2 ";"REL  ";"     ";3;5
77;"1BlA ";"OR 1 ";"CUL  ";"     ";3;5
78;"1BlA ";"SO 3 ";"HMC  ";"     ";2;4
79;"1BlA ";"SO 3 ";"HMC  ";"     ";1;4
80;"1BlA ";"SO 3 ";"HMC  ";"     ";5;4
81;"1BlA ";"SO 3 ";"HMC  ";"     ";4;1
82;"1BlA ";"MA 1 ";"MCS  ";"     ";3;6
83;"1BlA ";"CC 1 ";"LAT  ";"     ";3;6
84;"1BlA ";"MA 1 ";"MCS  ";"     ";1;2
85;"1BlA ";"CC 1 ";"LAT  ";"     ";1;2
86;"1BlA ";"MA 1 ";"MCS  ";"     ";2;2
87;"1BlA ";"CC 1 ";"LAT  ";"     ";2;2
88;"1BlA ";"MA 1 ";"MCS  ";"     ";4;6
89;"1BlA ";"CC 1 ";"LAT  ";"     ";4;6
90;"1BlA ";"EC 1 ";"ECN  ";"     ";1;1
91;"1BlA ";"CC 1 ";"GRI  ";"     ";1;1
